,FC,labels,setting
227,1.283577556,modT-2 trend,0.5
228,1.283577556,modT-2 trend,0.5
229,1.283043556,modT-2 trend,0.5
230,1.284788667,modT-2 trend,0.5
231,1.283605333,modT-2 trend,0.5
232,1.286952778,modT-2 trend,0.5
233,1.285571333,modT-2 trend,0.5
234,1.284505444,modT-2 trend,0.5
235,1.284114667,modT-2 trend,0.5
236,1.284114667,modT-2 trend,0.5
237,1.288171222,modT-2 trend,0.5
238,1.285271889,modT-2 trend,0.5
239,1.285650556,modT-2 trend,0.5
240,1.285650556,modT-2 trend,0.5
241,1.284284,modT-2 trend,0.5
242,1.284736333,modT-2 trend,0.5
243,1.285331556,modT-2 trend,0.5
244,1.285950667,modT-2 trend,0.5
245,1.285950667,modT-2 trend,0.5
246,1.284578778,modT-2 trend,0.5
247,1.284578778,modT-2 trend,0.5
248,1.284172333,modT-2 trend,0.5
249,1.285004444,modT-2 trend,0.5
250,1.512887778,modT-2 trend,0.6
251,1.512444111,modT-2 trend,0.6
252,1.515181333,modT-2 trend,0.6
253,1.521538,modT-2 trend,0.6
254,1.527466444,modT-2 trend,0.6
255,1.527466444,modT-2 trend,0.6
256,1.529031889,modT-2 trend,0.6
257,1.529031889,modT-2 trend,0.6
258,1.532637778,modT-2 trend,0.6
259,1.533652889,modT-2 trend,0.6
260,1.536303889,modT-2 trend,0.6
261,1.536556778,modT-2 trend,0.6
262,1.536556778,modT-2 trend,0.6
263,1.538877111,modT-2 trend,0.6
264,1.538552333,modT-2 trend,0.6
265,1.539264556,modT-2 trend,0.6
266,1.538669667,modT-2 trend,0.6
267,1.538072444,modT-2 trend,0.6
268,1.537600778,modT-2 trend,0.6
269,1.537150222,modT-2 trend,0.6
270,1.538385556,modT-2 trend,0.6
271,1.538355,modT-2 trend,0.6
272,1.537379778,modT-2 trend,0.6
273,1.540244,modT-2 trend,0.6
274,1.539286778,modT-2 trend,0.6
275,1.538751333,modT-2 trend,0.6
276,1.539192333,modT-2 trend,0.6
277,1.540357222,modT-2 trend,0.6
278,1.540701111,modT-2 trend,0.6
279,1.540701111,modT-2 trend,0.6
280,1.539538556,modT-2 trend,0.6
281,1.538280444,modT-2 trend,0.6
282,1.540372556,modT-2 trend,0.6
283,1.540372556,modT-2 trend,0.6
284,1.540451556,modT-2 trend,0.6
285,1.540122111,modT-2 trend,0.6
286,1.539586444,modT-2 trend,0.6
287,1.538977,modT-2 trend,0.6
288,1.538977,modT-2 trend,0.6
289,1.538977,modT-2 trend,0.6
290,1.539171333,modT-2 trend,0.6
291,1.541984667,modT-2 trend,0.6
292,1.541197778,modT-2 trend,0.6
293,1.541571333,modT-2 trend,0.6
294,1.544500111,modT-2 trend,0.6
295,1.544784889,modT-2 trend,0.6
296,1.542275667,modT-2 trend,0.6
297,1.543754667,modT-2 trend,0.6
298,1.542030333,modT-2 trend,0.6
299,1.540746556,modT-2 trend,0.6
300,1.759290889,modT-2 trend,0.7
301,1.762692,modT-2 trend,0.7
302,1.762692,modT-2 trend,0.7
303,1.771258667,modT-2 trend,0.7
304,1.774625667,modT-2 trend,0.7
305,1.783641667,modT-2 trend,0.7
306,1.787855444,modT-2 trend,0.7
307,1.787648222,modT-2 trend,0.7
308,1.788490667,modT-2 trend,0.7
309,1.790225333,modT-2 trend,0.7
310,1.790982556,modT-2 trend,0.7
311,1.792609111,modT-2 trend,0.7
312,1.793452111,modT-2 trend,0.7
313,1.791759111,modT-2 trend,0.7
314,1.791184889,modT-2 trend,0.7
315,1.791184889,modT-2 trend,0.7
316,1.791259778,modT-2 trend,0.7
317,1.791259778,modT-2 trend,0.7
318,1.788799556,modT-2 trend,0.7
319,1.788799556,modT-2 trend,0.7
320,1.788338333,modT-2 trend,0.7
321,1.787749778,modT-2 trend,0.7
322,1.789648,modT-2 trend,0.7
323,1.791892111,modT-2 trend,0.7
324,1.791187667,modT-2 trend,0.7
325,1.791187667,modT-2 trend,0.7
326,1.787595778,modT-2 trend,0.7
327,1.788075111,modT-2 trend,0.7
328,1.788360889,modT-2 trend,0.7
329,1.789673,modT-2 trend,0.7
330,1.792932778,modT-2 trend,0.7
331,1.793157,modT-2 trend,0.7
332,1.801269333,modT-2 trend,0.7
333,1.801269333,modT-2 trend,0.7
334,1.801069778,modT-2 trend,0.7
335,1.802174778,modT-2 trend,0.7
336,1.801026,modT-2 trend,0.7
337,1.801519333,modT-2 trend,0.7
338,1.800411556,modT-2 trend,0.7
339,1.801708778,modT-2 trend,0.7
340,1.802599333,modT-2 trend,0.7
341,1.801647556,modT-2 trend,0.7
342,1.800490889,modT-2 trend,0.7
343,1.799401333,modT-2 trend,0.7
344,1.797355667,modT-2 trend,0.7
